type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,sanitized_property_summary
single_family,,1795000.0,2741.0,2.0,5.0,4.0,3.0,3.0,3.0,1968.0,The home features five spacious bedrooms and three and a half bathrooms. The main level showcases the primary bedroom and two additional bedrooms. Luxury vinyl and plush carpeting create warmth throughout.
condos,condo,750000.0,1802.0,1.0,2.0,2.0,2.0,2.0,,1976.0,"Two large bedrooms and a 3rd bonus room that is ideal as a separate family room, hobby room or home office. Two very nice bathrooms, plus an indoor laundry room, provides plenty of space for living the relaxing lifestyle that has to offer."
single_family,,390000.0,1398.0,2.0,3.0,3.0,2.0,2.0,,2018.0,"3 bedroom, 2.5 bath home in gated community. Offers 1,398 sq ft of living space with an open-concept layout and LVP flooring throughout the main level. Designed with efficiency in mind, the home also includes PPA solar to help manage energy costs."
condos,condo,525000.0,656.0,1.0,1.0,1.0,1.0,1.0,,1969.0,"Spacious primary has a generous wall of closets, air conditioner and private patio. Luxury vinyl flooring, crystal chandeliers, molding, updated baseboards, new interior doors, double pane windows and sliding doors."
condos,condo,749900.0,1741.0,2.0,4.0,3.0,3.0,3.0,2.0,2023.0,"Light-filled home tucked away on a quiet cul-de-sac in one of most sought-after neighborhoods. Enjoy a low-maintenance backyard with turf and space to dine, lounge, and play. Paid solar adds efficiency and savings."
single_family,,484500.0,1851.0,,3.0,2.0,2.0,2.0,,2003.0,"Well-maintained 3-bedroom, 2 bath single-family residence offers a functional floor plan and comfortable living spaces. The primary suite features an en-suite bath, complemented by two additional bedrooms and a convenient quarter bath. Enjoy private outdoor space with mature orange and lemon trees."
single_family,,525000.0,1490.0,1.0,4.0,2.0,2.0,2.0,,1955.0,"The fixer-upper headachesthis home has been meticulously revitalized from top to bottom. Enjoy brand-new luxury vinyl flooring, fresh interior and exterior paint, and a bright, open floor plan. The property sits on a spacious lot with plenty of room to roam."
single_family,,4750000.0,3502.0,2.0,5.0,5.0,5.0,5.0,2.0,1977.0,"Five-bedroom, four-bath home on one of the area's most sought-after streets. Offers 180-degree ocean views that stretch endlessly to the horizon. Nestled on a massive 13, 000-square-foot lot."
mobile,,69900.0,800.0,1.0,2.0,2.0,2.0,2.0,,2011.0,"2-bedroom, --bath mobile home is located in one of the area's most popular senior parks. Enjoy the convivence of additional motorhome parking within the park-perfect for your RV or guests on the go."
single_family,,2250000.0,2981.0,,3.0,3.0,2.0,2.0,2.0,1986.0,"Nestled at the end of a quiet cul-de-sac in a coveted, this custom home offers peaceful forest living with filtered views of the and surrounding hills. Walnut hardwood floors, soaring ceilings, and picture windows fill the interiors with warmth and natural light."
single_family,,390000.0,1263.0,1.0,2.0,1.0,1.0,1.0,1.0,1924.0,"2-bedroom, 1-bath residence spans approximately 1,263 sq ft on a 4,000 sq ft lot. Location near parks, schools, public transit, and major freeways."
single_family,,489000.0,1227.0,1.0,3.0,2.0,2.0,2.0,2.0,1993.0,"A beautifully remodeled starter home offers an open, airy living space. Year-round comfort with brand-new windows with shutters in kitchen and living room. A newly installed AC with new ducts and a huge lot."
land,,75000.0,,,,,,,,,"There was a home prior to the fire in 2020, has some fencing and 2 entrances. Make this property your home or weekend retreat. Check for water, sewer and power reconnection fees that will apply."
mobile,,69900.0,768.0,1.0,2.0,2.0,1.0,1.0,,1973.0,"Charming 2 bed, features dual-pane windows throughout. The spacious yard offers a pergola for shade and outdoor entertaining, along with garden planters and stunning mountain views."
single_family,,629000.0,1400.0,1.0,4.0,2.0,2.0,2.0,,1966.0,"4-bedroom, 2-bath home features a 2-car garage and an spacious backyard. With a brandnew roof and parking, this property blends timeless charm with practical upgrades. Located in a peaceful, family-friendly neighborhood."
single_family,,420000.0,2896.0,2.0,3.0,4.0,1.0,3.0,3.0,1989.0,"This charming home is nestled in a quiet cul-de-sac location in a highly desirable golf community. Residents enjoy access to an 18-hole championship golf course, clubhouse, fitness center, tennis, pools, and spas-all surrounded by beautiful mountain views."
single_family,,1050000.0,1632.0,1.0,3.0,2.0,2.0,2.0,,1996.0,"3BD/2BA home on a desirable corner lot in one of North Napa's most sought after neighborhoods. Open concept great room with vaulted ceilings, abundant natural light, wide plank European oak floors. Remodeled kitchen features stainless steel Viking appliances, a generous 10 ft island with seating ability."
single_family,,265000.0,1050.0,1.0,3.0,2.0,2.0,2.0,,1960.0,"3 bedrooms, 2 bathrooms with well-maintained landscaping from front to back. sits on a generous residential lot in a quiet, established area of town with easy access to local schools, parks, and shopping."
condos,condo,449000.0,876.0,1.0,2.0,2.0,2.0,2.0,0.0,1970.0,"First-floor 2-bedroom, 2 full bath unit with in-unit laundry, featuring water included, a community pool, and pet-friendly living. Close to shopping centers, grocery stores, major hospitals, public transit, and minutes. Easy access to I-8 and I-125 provides effortless commuting throughout."
mobile,,610000.0,1104.0,,2.0,2.0,2.0,2.0,,1971.0,"This residence features an open floor plan, vaulted ceilings, laminate flooring throughout, two spacious bedrooms and two full bathrooms. The kitchen is well-equipped with modern appliances including a gas oven, self-cleaning oven, dishwasher, hood over range, microwave, and refrigerator."
single_family,,895000.0,1489.0,1.0,3.0,2.0,2.0,2.0,1.0,1945.0,3 bedroom /2 full bathroom sweet home oozes loads of charm and. First time in the market in last almost 40 years! Inviting floor plan seamlessly blending living room with a fireplace and family room with an open kitchen and Indoor laundry room. Large peaceful backyard to hang out with family and friends with low maintenance plants and decorative well.
single_family,,375000.0,1352.0,1.0,3.0,2.0,2.0,2.0,,1968.0,"3 bedroom, is ideally located close to schools, restaurants, medical facilities, athletic fields, golf, parks and tennis/pickleball courts. Both the kitchen and bathrooms have been remodeled - the stunning shower in the primary bathroom."
mobile,,165000.0,1248.0,,2.0,2.0,2.0,2.0,,1977.0,"2 bedroom, is located near shopping, healthcare facilities, and restaurants. Practical updates include a new cooktop stove, resurfaced kitchen sink, updated faucet, and a recently replaced water heater."
condos,condo,1450000.0,1191.0,,2.0,1.0,1.0,1.0,,1924.0,"Two-bedroom, two-bath condominium is located in a two-unit building. There are two bedrooms and an updated split bath, a large remodeled chef's kitchen with generous storage and counter space. Hardwood flooring throughout."
single_family,,850000.0,2171.0,1.0,4.0,3.0,2.0,2.0,2.0,1968.0,"Located just a 15-minute stroll (less than a mile) from the American River access, this is a lifestyle property designed for those who love the outdoors. Inside, you'll find a spacious 4-bedroom, 2.5-bathroom layout that feels fresh & comfortable."
condos,condo,594000.0,1264.0,,3.0,3.0,1.0,1.0,2.0,1970.0,"3-bedroom, 1.5 bath townhouse nestled in the highly sought-after area. Perfectly situated behind secure gates, this home offers both privacy and peace of mind. Located just minutes from shopping, dining, and the scenic CSUMB college campus."
condos,condo,488000.0,968.0,1.0,2.0,2.0,2.0,2.0,0.0,1992.0,"Ground-floor corner unit offers privacy, abundant natural light, and a bright open layout. The spacious living room features a cozy fireplace and sliding glass doors that open to a private patio with peaceful views. The primary bedroom includes a large walk-in closet and an en-suite bathroom."
condos,condo,995000.0,1032.0,2.0,2.0,2.0,2.0,2.0,1.0,1924.0,"Unit #2 is part of an intimate three-unit HOA known for its warm, friendly community atmosphere. Unit #2 enjoys a rear-facing position overlooking the backyard, offering exceptional quiet and abundant natural light."
condos,condo,650000.0,1137.0,1.0,2.0,2.0,2.0,2.0,1.0,2008.0,"Stunning, light-filled corner unit, 2-bed, two-bath, exempt and, NOBE condo. Exclusive-use balcony with view, a common roof deck with an outdoor lounge and spectacular views. Engineered hardwood floors add warmth and continuity throughout the home."
single_family,,595000.0,1034.0,,3.0,1.0,1.0,1.0,2.0,1956.0,"3 bedroom / 1 bath home on an 8,700 square foot parcel. Recent improvements include brand new vinyl plank flooring, fresh interior paint, new garage door, new gas water heater, new washer/dryer, new siding, and wall heaters."
single_family,,370000.0,1591.0,1.0,3.0,2.0,1.0,2.0,2.0,1969.0,"1969 home offers warmth, charm, and a story in every corner. Step into a backyard with mature plantings, covered patio and mountain views. Air conditioner and water heater are newer."
single_family,,750249.0,2178.0,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,"Single-story home offers upgraded countertops, luxury flooring selections, a washer, a dryer, a refrigerator, and a large covered patio. New amenity center is under construction which will feature outdoor gathering places and games."
single_family,,320000.0,1614.0,1.0,4.0,3.0,2.0,3.0,,1956.0,"4-bedroom, 2.75-bath home features a stunning brick fireplace, a spacious kitchen, and a fantastic location. Additional highlights include a newer AC unit, alley access with an electronic gate, a newer roof, and solar for energy savings."
single_family,,1100000.0,712.0,1.0,2.0,1.0,1.0,1.0,0.0,1954.0,"Just two blocks from the sandy shores of and under half a mile from everything that makes OB special. This home offers a rare blank canvas with endless potential-perfect for personalization, updates, or your dream coastal retreat."
single_family,,599000.0,1697.0,1.0,3.0,2.0,2.0,2.0,,2018.0,"Luxury plank flooring runs through the main living areas, blending style with practical durability. An expanded solar system supports energy efficiency (buyer to assume solar lease). Enjoy a convenient commute with easy access to and."
single_family,,449950.0,1104.0,1.0,3.0,2.0,2.0,2.0,2.0,1962.0,"This is ready for immediate move-in! Modern updated kitchen with stainless steel appliances, beautiful shaker cabinets, granite counters and more. Home also features tile floors, fresh interior paint, a cozy fireplace, dual pane windows, central heat and air."
single_family,,799999.0,1487.0,1.0,3.0,2.0,2.0,2.0,2.0,1955.0,"3 bedrooms, 3.5 baths, 2 car garage. Move in ready home offers exceptional value and flexibility."
single_family,,1375000.0,2604.0,1.0,3.0,3.0,3.0,3.0,,1951.0,"Three-bedroom, three-bath home in prime location. Originally relocated after WWII and thoughtfully expanded. Home features vaulted ceilings, hydronic heating, two wood-burning fireplaces."
single_family,,599000.0,1543.0,1.0,3.0,2.0,2.0,2.0,2.0,1987.0,"Single level plan with vaulted ceilings and an open feel. Outdoor options abound with a spacious, fenced yard, greenhouse, plus a large covered patio. Private, primary suite with double vanity. 2 car garage, iveway."
single_family,,579990.0,2406.0,,4.0,3.0,3.0,3.0,,2026.0,"At The, where modern living meets timeless charm in a stunning natural setting. Perfectly positioned near major commuter routes, shopping, dining, and year-round recreation. The plan was crafted for the way you live today, featuring 4 bedrooms, 3 baths, and a flexible with its own private entrance and sitting area."
single_family,,385000.0,1239.0,1.0,3.0,2.0,2.0,2.0,,1996.0,"3-bedroom, 2-bath residence features fresh interior and exterior paint, quartz countertops with matching backsplash, modern vanities, contemporary lighting, and stainless steel appliances. Located in the highly desirable area near top-rated schools, parks, shopping, and dining."
land,,50000.0,,,,0.0,,,,,Property features standard residential amenities and layout.
land,,45000.0,,,,,,,,,"Southeast Hanford lot offers just the right amount of privacy and spacing while still being close to it all. Utilities are nearby, zoning is ready, and your building plans can take shape right away."
single_family,,1199000.0,1472.0,1.0,4.0,2.0,2.0,2.0,2.0,1967.0,"Four bedrooms and two bathrooms across approximately 1,472 square feet of light-filled living space. The true highlight of the property is the oversized backyard, offering rare scale."
single_family,,405000.0,2100.0,1.0,4.0,2.0,2.0,2.0,,1998.0,"4-bedroom, 2-bath, 2,100 sq. ft. property in one of a most desirable neighborhoods. Featuring an open floor plan, a bright loft perfect for an office or play area. Enjoy a refreshing pool, ideal for 's warm summers."
single_family,,385000.0,2280.0,,3.0,3.0,3.0,3.0,,1960.0,Property features standard residential amenities and layout.
single_family,,999000.0,2014.0,2.0,4.0,3.0,3.0,3.0,2.0,1947.0,"1947-built residence offers unparalleled northwesterly views, stretching from the iconic Cowles Mountain all the way. Situated just a short walk from (The Village), this property combines vintage character w/ modern updates, plus rare multi-generational or income-potential possibilities."
land,,535000.0,,,,,,,,,"1.13 acre level lot in subdivision. Close to with, restaurants and is just a few minutes away. Hiking trails at nearby too! are at the street."
multi_family,,1435000.0,2400.0,1.0,6.0,3.0,3.0,3.0,,1973.0,"Each unit is fully furnished and achieving market rents, offering strong income performance. Interiors include open layouts with stainless-steel appliances, in-unit washer/dryers, ceiling fans. Outdoor patio areas provide inviting spaces for tenants to relax and entertain."
single_family,,89900.0,789.0,1.0,2.0,1.0,1.0,1.0,,1945.0,"2 bedroom 1 bath home on a good size lot. Property needs repairs but is being sold in ""AS-IS"" condition. will not pay for any repairs/improvements, retrofits or inspections."
mobile,,65000.0,672.0,,2.0,1.0,1.0,1.0,,,"2BR/1BA mobile home is a fixer-upper with an unfinished kitchen and areas needing renovation. Great location, great park, and tons of potential."
land,,175000.0,,,,,,,,,"Level buildable lot in the desirable Bijou neighborhood. Centrally located at Heavenly, bike paths, and the shops and restaurants along. This 8, features a solid 762 IPES score with potential for approximately 17% coverage."
land,,45000.0,,,,,,,,,"0. offers flexibility, convenience, and value. Located near schools, shopping centers, and major roads, this is land worth locking."
single_family,,1089000.0,1266.0,1.0,2.0,1.0,1.0,1.0,1.0,1918.0,"Reet is a residence defined by meticulous craftsmanship and thoughtful design. The home dissolves the boundaries between interior and exterior, pairing refined architectural details with lush landscaping."
land,,450000.0,,,,,,,,,"Located in the Movie neighborhood, this location is prime, schools, downtown, and events. This is a prime spot to build your home or an investment property. Plenty of room for a fabulous pool/spa and outdoor area."
land,,45000.0,,,,,,,,,"Located in the heart of a four-lot stretch, this 0.15-acre lot is a great choice for those wanting to build in a peaceful and quickly developing part of Southeast Hanford. Zoning is set, utilities are nearby, and the neighborhood is filled with potential."
single_family,,3335000.0,3000.0,3.0,2.0,2.0,2.0,2.0,2.0,2009.0,"2 bedroom, 2 bath, home boasting 3,000 sq.ft., was built w/ bold & creative lines."
land,,140000.0,,,,0.0,,,,,"Nestled at the end of peaceful cul-de-sac, these exclusive hilltop parcels offer an exceptional opportunity for those seeking breathtaking valley views. Surrounded by estate-sized custom homes, this property promises a distinguish and serene setting."
single_family,,988000.0,1030.0,2.0,3.0,1.0,1.0,1.0,1.0,1900.0,"Nestled in the far eastern, which represents original uniform development with the signature -style row-house cottages. The block contains the largest collection of known to exist."
land,,28500.0,,,,,,,,,"1, boasts natural beauty, quality amenities and an award-winning golf course. Quick access to alpine lakes and trails."
single_family,,468000.0,1288.0,1.0,3.0,2.0,2.0,2.0,2.0,2009.0,"This charming corner lot property is perfect for a first-time homeowner or anyone looking for comfort and convenience. The home features a beautifully upgraded kitchen, tile flooring throughout, and a spacious backyard."
single_family,,1569000.0,2940.0,1.0,3.0,4.0,1.0,3.0,2.0,1994.0,"The home offers an idyllic blend of comfort, elegance, and breathtaking scenery. The main living area features a romantic fireplace with tile and stone accents, paired with a custom built-in entertainment unit. All bedrooms are ensuite, offering privacy and comfort for guests."
single_family,,425000.0,1762.0,1.0,3.0,2.0,2.0,2.0,,1978.0,The home highlights a beautiful floor-to-ceiling brick fireplace that anchors the main living area. Step outside to enjoy the in-ground pool and ample yard space. This property presents a great opportunity to add your personal touches and build equity.
condos,condo,450000.0,992.0,1.0,1.0,2.0,1.0,1.0,,1914.0,"1-bedroom plus den, 1.5-bath residence offers a flexible & well-designed layout ideal for a variety of lifestyles. Soaring ceilings, recently refinished wall-to-wall windows create an open, airy ambiance while framing stunning urban vistas."
single_family,,199900.0,1092.0,1.0,2.0,1.0,1.0,1.0,,1920.0,"1920s Craftsman-style home located at 507 S. Edwards in the heart offering expansive views of and abundant natural light throughout. The home has been comfortably lived in for many years and is ready for its next chapter, with updating and a new roof needed."
condos,condo,494900.0,1024.0,1.0,3.0,2.0,2.0,2.0,0.0,1973.0,"This single-level, first-floor, unit offers an unbeatable location within. It backs directly to open green space, providing serene views from the kitchen, dining area, and master suite. The kitchen boasts granite slab countertops and beautiful cabinets."
multi_family,,599950.0,3218.0,2.0,9.0,6.0,6.0,6.0,,1988.0,"Three-unit complex located on corner lot in the desirable area within. All units come equipped with washer and dryer hookups, fireplaces, one-car garages, and private side yards. Conveniently located near shopping, dining, and entertainment options."
multi_family,,260000.0,1800.0,1.0,3.0,2.0,2.0,2.0,,1923.0,"Two homes in prime location. Both tenants are month-to-month giving you full flexibility to adjust rents, improve occupy one and rent the other."
single_family,,599900.0,1705.0,1.0,3.0,2.0,2.0,2.0,2.0,1964.0,"3-bedroom, 2-bath home features a flexible bonus room, attached 2-car garage, and a peaceful backyard highlighted by a koi pond. Property offers a variety of established plantings, including a productive peach tree, strawberries near the entry, and in the rear yard an apple tree, plum tree, blackberry."
single_family,,325000.0,1160.0,,4.0,2.0,1.0,2.0,,1975.0,"Wellmaintained 4bed, 1.75bath home offers not only a comfortable layout and movein ready condition, but also access to quality neighborhood schools."
single_family,,1499988.0,2000.0,2.0,3.0,3.0,3.0,3.0,2.0,1989.0,"Stunning Mount Diablo and golf course views highlight this beautifully maintained home. Offering a bright and versatile floor plan, this home combines comfort, elegance, and scenic surroundings. A charming courtyard patio with a tranquil fountain welcomes you upon arrival."
condos,condo,549000.0,1090.0,1.0,2.0,2.0,2.0,2.0,2.0,1986.0,"2-bedroom, 2-bathroom condo brimming with potential. Features secured underground parking with a private 6x9 ft storage unit. Located in a desirable area close to shops, restaurants, and only a few blocks from the beach."
single_family,,340000.0,923.0,1.0,2.0,1.0,1.0,1.0,,1954.0,"2beds + bonus room, 1 bath. Complete renovation with new appliances, pantries, windows & bathroom. New floor and new carpet in bedrooms. Each room features a mini split air conditioner for ultimate comfort."
condos,condo,4995000.0,1440.0,1.0,2.0,2.0,2.0,2.0,1.0,1964.0,"Residence 3001 at 999 is a glass-walled, modernist masterpiece that revels in its clean, sophisticated aesthetic. High floor, world-class views include iconic landmarks spanning from and beyond."
single_family,,1385000.0,1489.0,1.0,4.0,2.0,2.0,2.0,2.0,1969.0,"4-bedroom, 2-bath home offers 1,489 sq ft of comfortable living on a 6,200 sq ft lot. Recent improvements include a roof (approx. 3 years old), new HVAC, new flooring, and an upgraded hall bathroom."
single_family,,848000.0,976.0,1.0,2.0,1.0,1.0,1.0,1.0,1923.0,"Built in 1923, this inviting Craftsman-style home perfectly blends timeless character with thoughtful modern updates. The renovated kitchen with stainless steel appliances and French doors opens to a spacious deck and private backyard. Location, and in the heart of central, unmatched access to the city's best amenities."
single_family,,34900.0,408.0,1.0,0.0,,,,,1968.0,From your doorstep you can ride directly into the endless trails of area. Your private gateway to the races & events. Only about 3 miles to Hammer Town to get a property this close.
single_family,,425000.0,1667.0,,3.0,2.0,2.0,2.0,,1977.0,"Clovis home sits on a spacious private culdesac lot just minutes from shopping and everyday conveniences. The backyard is an, featuring mature fruit trees, a private builtin pool, and a fully equipped outdoor kitchen. Inside, the living room showcases vaulted ceilings and durable laminate flooring."
land,,30000.0,,,,0.0,,,,,"Flat land for a zoned so perfect for a small business,. APN# 3080-015-030."
land,,660000.0,,,,,,,,,"End of cul de sac on a quiet street. Ready to build, beautiful piece of land with view."
multi_family,,1450000.0,,,,,,,3.0,1940.0,"The corner home offers two bedrooms and one full bathroom, laundry hookups and a small deck off the living room. The second unit sits above a three-car garage. The third home, is a one-bedroom, one bath, and is presently rented, further demonstrating the property's strong rental potential."
single_family,,3998000.0,1157.0,,3.0,1.0,1.0,1.0,2.0,1939.0,"Situated on an expansive 13,172 sqft lot, the property currently features a 3-bedroom, 1-bathroom main residence. Just moments from downtown and, enjoy convenient access to boutique shopping, dining, cafes, and beloved community events."
single_family,,1100000.0,3594.0,2.0,5.0,3.0,3.0,3.0,3.0,2007.0,"5-bedroom, 3-full-bath former model home nestled in the vibrant and highly sought-after city. Known for its award-winning schools, beautiful neighborhoods, and modern conveniences. Solar lease will need to be assumed by buyers."
land,,40000.0,,,,0.0,,,,,"This vacant parcel is zoned E (2 1/2) M and offers a chance to own a spacious 80-acre piece of land ideal for off-grid use, recreational enjoyment, or long-term investment. Located east of and west the property features a private, secluded setting and sweeping desert views."
single_family,,529950.0,1925.0,1.0,4.0,2.0,2.0,2.0,3.0,2010.0,"Boasting 4 bedrooms and 2 bathrooms, this home spans over 1,900 square feet with a bright, open floor plan. The expansive primary suite includes a generous bathroom, while the backyard provides a large, covered patio ideal for year round gatherings."
single_family,,2995000.0,2290.0,,4.0,3.0,3.0,3.0,2.0,1956.0,"Gorgeous great room with spacious open kitchen., roof replaced. Award-winning school to be verified."
multi_family,,500000.0,2096.0,,6.0,2.0,2.0,2.0,,1910.0,"Built in 1910, this classic property sits in the vibrant core of Downtown Chinatown. The property is configured as a two-unit duplex with one vacant top-floor unit. Generous room proportions and abundant natural light provide an excellent layout for thoughtful modernization while preserving historic charm."
single_family,,2998000.0,4599.0,2.0,5.0,5.0,4.0,4.0,9.0,1897.0,"Three-bedroom home on nearly a third of an acre offers rare scale, privacy, and timeless elegance. landscaped grounds, mature fruit trees, and a breathtaking 100-year-old vine-covered pergola frame a level lawn."
single_family,,1388888.0,1108.0,1.0,3.0,2.0,2.0,2.0,2.0,1958.0,Property features standard residential amenities and layout.
single_family,,950000.0,1883.0,2.0,3.0,3.0,2.0,2.0,2.0,1988.0,"3 bedrooms+treatment room, 2.5Bathrooms home with open floor plan. Stunning views of hills, mountains and city lights from the backyard and side of the property. Home is close to award winning."
single_family,,625000.0,2097.0,1.0,3.0,2.0,2.0,2.0,2.0,1989.0,"3 bedrooms, 2 bathrooms, separate office/flex space, indoor laundry room with utility sink, updated main bathroom, a whole house fan and tankless water heater. New exterior paint, new roof installed in 2022, established front landscaping, raised planter beds, great shade trees, partial new fence and a covered gazebo."
land,,1000000.0,,,,,,,,,"Situated on a 6,281 SF lot, this single-family residence offers an excellent opportunity to develop a fourplex or townhome project in one of most sought-after rental submarkets. The property benefits from having 8 clearance already in hand, providing peace of mind with no tenant relocation required and no rent control."
land,,31500.0,,,,,,,,,Panoramic views in all directions. Buy and Hold for the future or use a construction loan to Build and Live right now with instant equity.
single_family,,1200000.0,2620.0,2.0,5.0,3.0,3.0,3.0,2.0,1970.0,"Located less than a mile from top rated elementary, middle, and high schools. This home is in disrepair and needs a lot of work. Enjoy nearby community amenities including parks, pool, and clubhouse."
single_family,,2595000.0,2440.0,3.0,3.0,3.0,2.0,2.0,2.0,1996.0,Fully Furnished masterpiece with stunning custom features and finishes that will take your breath away. Unique North Harbour location with the sounds of waves crashing on the beach and sea lions barking.
single_family,,598000.0,1578.0,2.0,3.0,3.0,2.0,2.0,2.0,1992.0,High ceilings with a chimney in the living room. Second floor has a master bedroom with a spacious walk-in closet.
single_family,,799000.0,1324.0,,3.0,2.0,2.0,2.0,2.0,1951.0,This home sale is contingent on sellers finding a suitable replacement home have a termite inspection with section. Welcome to sought after neighborhood.
single_family,,795000.0,2820.0,1.0,4.0,3.0,2.0,2.0,3.0,2015.0,"Built in 2015, this spacious 2, offers us a big office, 2.5 baths, and a 15*40 garage/ workshop on a paved road with stunning views. Set back from the street for privacy, the home features panoramic views from the back side-capturing both ends of the lake."
single_family,,1150000.0,2292.0,2.0,4.0,3.0,2.0,2.0,2.0,1974.0,"6535 E is a completely remodeled 4-bedroom, 2.5-bath home offering 2,unning living space. This turnkey residence has been extensively updated with new luxury vinyl wood flooring throughout the stairs and entire second floor. The heart of this home features a hugely expanded professional chef's kitchen (city-approved) with a massive center island, modern appliances, and a breakfast nook."
single_family,,2988000.0,1724.0,1.0,3.0,3.0,2.0,2.0,2.0,1966.0,"3 Bedroom, 2 Bath home located off 280. Stunning Living Room with Cathedral Ceilings, large. Elegant Dining Room off Entry. Spacious Separate Family Room w/Fireplace, opens up to and."
single_family,,1350000.0,2687.0,1.0,4.0,3.0,2.0,2.0,2.0,1963.0,"Set on an expansive over 16,000 sq ft FLAT LOT, this rare single-story residence offers an exceptional blend of comfort, space, and future opportunity. The property boasts excellent street frontage, enhancing curb appeal and providing added privacy and flexibility for future use."
single_family,,1585000.0,,2.0,2.0,1.0,1.0,1.0,,1910.0,"Main living area includes wide-plank hardwood floors, a fireplace, a dining nook, and great natural light. Vaulted ceilings lead to a loft with built-in bookshelves, adding extra space and character. Private parking for up to three cars is available behind a motorized gate."
condos,condo,1125000.0,1994.0,2.0,3.0,3.0,2.0,2.0,2.0,1974.0,"City light views and nearly 2,000 square feet at $1,125,races! The home offers 3 bedrooms, 2.5 baths, and a flexible garage area. The primary suite includes a walk-in closet, with recent improvements."
single_family,,549000.0,2596.0,2.0,5.0,3.0,3.0,3.0,3.0,1992.0,"Two story and five bedroom/ three bath home home just shy of 2,600 square feet had its former glory decimated by interior water damage. Water damage was entirely remediated and the studs are in place to finish the interior rebuilding. Beautiful exterior grounds are complete with fruit trees and large pool that needs some."
single_family,,699998.0,1245.0,1.0,4.0,2.0,2.0,2.0,2.0,1955.0,"Single-story home in a quiet neighborhood offers 4 bedrooms and 2 bathrooms on a fully gated, large lot. The home features an open floor plan with abundant natural light, creating a comfortable and inviting flow throughout the living spaces. Modern upgrades include solar panels for energy efficiency and an charger for convenient at-home vehicle charging."
mobile,,149900.0,1416.0,,2.0,2.0,2.0,2.0,2.0,1980.0,This home boast vaulted ceilings. New from the studs when this owner bought it in 2019.
single_family,,819999.0,1203.0,1.0,3.0,2.0,2.0,2.0,2.0,1985.0,"3-bedroom, 2-bath home sits on a corner lot, on a cul-de-sac street. The neighborhood shows with perfectly manicured lawns and a recently paved street. has upgraded the property by installing smart lighting system."
single_family,,2695000.0,2190.0,1.0,4.0,3.0,2.0,2.0,2.0,1963.0,"4-bedroom, 2.5-bathroom residence spans approximately 2,190 square feet of elevated design & effortless living. Positioned on a premier corner lot, the home makes an immediate statement w/ sleek architectural fencing, custom stonework, a serene limestone fountain, & mature olive trees."
single_family,,1499000.0,2496.0,1.0,3.0,2.0,2.0,2.0,2.0,1971.0,"Holiday offers the perfect blend of small-town charm and modern convenience. Known for its vibrant downtown, community events, and scenic open spaces. With a welcoming community feel, top-rated schools, and convenient commuter access."
land,,10000.0,,,,0.0,,,,,This is a 2.5 acre lot and the seller also have the 2 adjoining lots for sale and would love to sell them all together.
single_family,,290000.0,1260.0,1.0,4.0,2.0,1.0,1.0,,1960.0,Large 4 bedroom corner lot with lots of fruit trees. Great home for family or extended family. Has a large size bedroom and half bath on the other side of the home. Some furniture is being sold with the property.
land,,39900.0,,,,,,,,,This property sits on Wintergreen Road and is nestled within an area of high-priced custom homes and equestrian estates. This parcel also has an elevated location in the foothills area with great views of the valley to the north and scenic mountain views to the south.
townhomes,townhouse,790801.0,1371.0,2.0,2.0,3.0,2.0,2.0,2.0,2025.0,"by is built with care by a trusted, award-winning builder. Nestled in the heart this gated neighborhood offers a welcoming retreat."
condos,condo,599000.0,1303.0,2.0,3.0,3.0,2.0,2.0,,1972.0,"Two-story home located in the highly sought-after gated community. This residence offers a blend of comfort, convenience, and community living."
single_family,,499900.0,1372.0,1.0,3.0,2.0,2.0,2.0,2.0,1974.0,"Beautiful 3-bedroom 2-bath home with a long list of upgrades, unit, newer kitchen and granite counters, remodeled baths and a fresh coat of stucco just done 2 years ago. The front yard is landscaped to perfection to seat and enjoy the evenings."
single_family,,1495000.0,2561.0,1.0,3.0,3.0,2.0,2.0,2.0,1960.0,"Single-story home features fantastic curb appeal with a classic stone like facade and a spacious driveway. The heart of the home is the updated kitchen, complete with granite countertops, rich wood cabinetry, and stainless steel appliances."
single_family,,519900.0,1520.0,1.0,3.0,3.0,3.0,3.0,,1920.0,"this move-in-ready home features a true open-concept living area with modern lighting, next-generation flooring, and an elegant fireplace. Enjoy two spacious master suites, each with its own private bathroom. The large backyard with rear alley access provides exceptional versatility: Approved potential to build an ADU and generate rental income."
single_family,,1225000.0,2068.0,2.0,5.0,3.0,3.0,3.0,2.0,1968.0,"Two bedrooms upstairs and three downstairs, including a spacious primary en-suite on the main level. The primary suite serves as a private retreat, featuring French doors that open directly to the backyard patio. A new roof, completed in 2026, provides additional peace of mind and long-term value."
townhomes,townhouse,1150000.0,1066.0,2.0,2.0,3.0,2.0,2.0,,2008.0,"2-bedroom, 2.5-bath townhouse offers refined indoor-outdoor living in one of the Westside's most coveted walkable neighborhoods. Located in an intimate four-unit building, this residence combines privacy, exclusivity, and boutique-style charm."
